,DistrictName,Depot Name,google Maps Location,,,,,,,,google Maps Location,Latitude,Longitude
32,Gulbarga/Kalaburagi,Aland,"HHC8+7R5, Aland, Karnataka 585302, India",,,,,,,,"HHC8+7R5, Aland, Karnataka 585302, India",17.5706375,76.5671094
33,Gulbarga/Kalaburagi,Afzalpur,"VKG Nagar, Gulbarga, SH-22, Sindagi Kalaburagi Road, Afzalpur, Afzalpur, Karnataka 585301, India",,,,,,,,"VKG Nagar, Gulbarga, SH-22, Sindagi Kalaburagi Road, Afzalpur, Afzalpur, Karnataka 585301, India",17.1907209,76.3417286
34,Gulbarga/Kalaburagi,Gulbarga,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585102",,,,,,,,"8R9J+CQG, Shambhognlli, Kalaburagi, Karnataka 585102",17.3185625,76.8319531
35,Gulbarga/Kalaburagi,Chincholi,"FC79+99R, Chincholi, Karnataka 585307, India",,,,,,,,"FC79+99R, Chincholi, Karnataka 585307, India",17.4634875,77.4183906
36,Gulbarga/Kalaburagi,Sedam,"57HJ+MW7, Main Road, Sedam, Karnataka 585222, India",,,,,,,,"57HJ+MW7, Main Road, Sedam, Karnataka 585222, India",17.18885,77.20725
37,Gulbarga/Kalaburagi,Jewargi,"2Q4F+6G4, Jevargi, Karnataka 585310, India",,,,,,,,"2Q4F+6G4, Jevargi, Karnataka 585310, India",17.0055125,76.7738281
38,Gulbarga/Kalaburagi,Kalgi,"9563+4P2, Kalgi, Karnataka 585324, India",,,,,,,,"9563+4P2, Kalgi, Karnataka 585324, India",17.3602625,77.1542656
39,Gulbarga/Kalaburagi,Kamalapura,"HXQR+Q7, Kamalapur, Karnataka 585313, India",,,,,,,,"HXQR+Q7, Kamalapur, Karnataka 585313, India",17.5894375,76.9906875
40,Gulbarga/Kalaburagi,Yedrami,"VJWJ+6PR, Jewargi to Yadrami Main Road, Alur, Karnataka 585325, India",,,,,,,,"VJWJ+6PR, Jewargi to Yadrami Main Road, Alur, Karnataka 585325, India",16.8983827,76.5224546
41,Gulbarga/Kalaburagi,Shahabad,"4WFR+3C7, Railway Station Area, Shahabad, Karnataka 585228, India",,,,,,,,"4WFR+3C7, Railway Station Area, Shahabad, Karnataka 585228, India",17.1226625,76.9410469
42,Bidar,Basavakalyan,"VW7X+P7W, Basavakalyan,, Jai Shankar Colony, Basavakalyan, Karnataka 585327, India",,,,,,,,"VW7X+P7W, Basavakalyan,, Jai Shankar Colony, Basavakalyan, Karnataka 585327, India",17.8643625,76.9482031
43,Bidar,Bhalki,"3628+RQV, Bhalki, Karnataka 585328, India",,,,,,,,"3628+RQV, Bhalki, Karnataka 585328, India",18.0521125,77.2169219
44,Bidar,Aurad,"7C26+6VG, Aurad Main Rd, Aurad, Karnataka 585326, India",,,,,,,,"7C26+6VG, Aurad Main Rd, Aurad, Karnataka 585326, India",18.2505625,77.4122031
45,Bidar,Bidar,"District Court, Nandi Colony, Bidar, Karnataka 585401, India",,,,,,,,"District Court, Nandi Colony, Bidar, Karnataka 585401, India",17.9133564,77.5181885
46,Bidar,Humnabad,"Q4CH+36M, Humnabad, Karnataka 585330, India",,,,,,,,"Q4CH+36M, Humnabad, Karnataka 585330, India",17.7702125,77.1280469
